,Alicia,Carolina,Cas,Gianna,Hannah,Kam,Kari,Kathryn,Shannon,Taylor,Tyranny
Andre,0.0,0.122983537838,0.108515681564,0.119217739359,0.0,0.108491647748,0.108511675928,0.108413037143,0.106154359183,0.10923769744,0.108474623796
Derrick,0.0,0.0989907800275,0.0844137701746,0.0916649726165,0.0866619333402,0.0844157729926,0.0844087631297,0.2180873489,0.0821756210989,0.0847953069969,0.0843857307231
Edward,0.108251309593,0.0961017151132,0.0816869335155,0.0884865005062,0.0838945396172,0.215157226217,0.0815357207591,0.0812408058138,0.0,0.0821275534677,0.0815176953974
Hayden,0.118996427974,0.105482914461,0.088529060388,0.0,0.0915272788814,0.0886792717353,0.0885390744778,0.0884309223077,0.241077696319,0.0,0.0887373534563
Jaylen,0.108549729469,0.0963460589049,0.215344489697,0.0884865005062,0.0841529031347,0.0,0.0819317780117,0.0814931608774,0.0797967740611,0.0821460795339,0.0817525258038
Joey,0.123012077994,0.0,0.0963475610184,0.105464388394,0.0987589538481,0.0963275328387,0.0963445567914,0.0961142327254,0.0943417388265,0.0969744430414,0.0963145145219
Michael,0.109473529256,0.0969814529042,0.0820714745647,0.0,0.220732070023,0.0820714745647,0.0820684703378,0.0820013759359,0.0801337481837,0.0824189634816,0.0820474407491
Mike,0.108547726651,0.0963440560869,0.0,0.0884865005062,0.0841488974988,0.0819603181677,0.215362515059,0.0814851496055,0.0796280366476,0.0821345633306,0.0819022364467
Osvaldo,0.108549729469,0.0963460589049,0.0819608188722,0.0884865005062,0.0841529031347,0.0817915807541,0.0,0.0814931608774,0.0796195246712,0.0822842739735,0.215315448837
Ozzy,0.106368160001,0.0943217106469,0.0795844753568,0.241220397099,0.0820759809051,0.0795684528131,0.0795814711299,0.0,0.0775486108955,0.0801783108834,0.0795524302694
Tyler,0.108251309593,0.0961017151132,0.0815457348489,0.0884865005062,0.0838945396172,0.0815367221681,0.0817159743759,0.0812408058138,0.0795238901134,0.217702807851,0.0
